	podcast	guests	podcast_id	duration
0	10% Happier with Dan Harris	Adam Levin	141	1937
1	10% Happier with Dan Harris	Adam Shankman	141	2538
2	10% Happier with Dan Harris	Alan Cumming	141	2102
3	10% Happier with Dan Harris	Ali Smith	141	2931
4	10% Happier with Dan Harris	Amy Cuddy	141	3319
5	10% Happier with Dan Harris	Anderson Cooper	141	2443
6	10% Happier with Dan Harris	Andrea Petersen	141	3438
7	10% Happier with Dan Harris	Andrew Olendzki	141	3763
8	10% Happier with Dan Harris	Andrew Scheffer	141	3684
9	10% Happier with Dan Harris	Annaka Harris	141	3338
10	10% Happier with Dan Harris	Anurag Gupta	141	3012
11	10% Happier with Dan Harris	Arianna Huffington	141	3665
12	10% Happier with Dan Harris	Bellamy Young	141	2352
13	10% Happier with Dan Harris	Bianca Harris	141	3734
14	10% Happier with Dan Harris	Bill Duane	141	3050
15	10% Happier with Dan Harris	Billy Crudup	141	3313
16	10% Happier with Dan Harris	Bob Roth	141	3843
17	10% Happier with Dan Harris	Bonnie St. John	141	2663
18	10% Happier with Dan Harris	Brad Katsuyama	141	3542
19	10% Happier with Dan Harris	Brian Koppelman	141	2730
20	10% Happier with Dan Harris	Catherine Price	141	3299
21	10% Happier with Dan Harris	Chade-Meng Tan	141	3186
22	10% Happier with Dan Harris	Charles Raison	141	3831
23	10% Happier with Dan Harris	Clair Brown	141	2496
24	10% Happier with Dan Harris	Claire Hoffman	141	4089
25	10% Happier with Dan Harris	Colin Beavan	141	2625
26	10% Happier with Dan Harris	Colin O'Brady	141	2566
27	10% Happier with Dan Harris	Cory Muscara	141	2508
28	10% Happier with Dan Harris	Dalai Lama	141	1621
29	10% Happier with Dan Harris	Dan Ryckert	141	3052
30	10% Happier with Dan Harris	Danica Patrick	141	2152
31	10% Happier with Dan Harris	Daniel Goleman	141	7237
32	10% Happier with Dan Harris	Daniel Pink	141	4047
33	10% Happier with Dan Harris	Danny Strong	141	1909
34	10% Happier with Dan Harris	David Gelles	141	3284
35	10% Happier with Dan Harris	David Leite	141	3128
36	10% Happier with Dan Harris	David Vago	141	3525
37	10% Happier with Dan Harris	Diana Butler Bass	141	3900
